"COU","Country","POL","Pollutant","VAR","Variable","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"USA","United States","NOX","Nitrogen Oxides","TOT_CAP","Total emissions per capita","1991","1991","KG_HAB","Kilograms per capita","0","Units",,,88.016,,
"USA","United States","NOX","Nitrogen Oxides","TOT_CAP","Total emissions per capita","1992","1992","KG_HAB","Kilograms per capita","0","Units",,,87.483,,
"USA","United States","NOX","Nitrogen Oxides","TOT_CAP","Total emissions per capita","1993","1993","KG_HAB","Kilograms per capita","0","Units",,,86.908,,
"USA","United States","NOX","Nitrogen Oxides","TOT_CAP","Total emissions per capita","1994","1994","KG_HAB","Kilograms per capita","0","Units",,,85.424,,
"USA","United States","NOX","Nitrogen Oxides","TOT_CAP","Total emissions per capita","1995","1995","KG_HAB","Kilograms per capita","0","Units",,,83.496,,
"USA","United States","NOX","Nitrogen Oxides","TOT_CAP","Total emissions per capita","1996","1996","KG_HAB","Kilograms per capita","0","Units",,,81.408,,
"USA","United States","NOX","Nitrogen Oxides","TOT_CAP","Total emissions per capita","1997","1997","KG_HAB","Kilograms per capita","0","Units",,,80.857,,
"USA","United States","NOX","Nitrogen Oxides","TOT_CAP","Total emissions per capita","1998","1998","KG_HAB","Kilograms per capita","0","Units",,,78.738,,
"USA","United States","NOX","Nitrogen Oxides","TOT_CAP","Total emissions per capita","1999","1999","KG_HAB","Kilograms per capita","0","Units",,,72.807,,
"USA","United States","NOX","Nitrogen Oxides","TOT_CAP","Total emissions per capita","2000","2000","KG_HAB","Kilograms per capita","0","Units",,,71.194,,
"USA","United States","NOX","Nitrogen Oxides","TOT_CAP","Total emissions per capita","2001","2001","KG_HAB","Kilograms per capita","0","Units",,,67.508,,
"USA","United States","NOX","Nitrogen Oxides","TOT_CAP","Total emissions per capita","2002","2002","KG_HAB","Kilograms per capita","0","Units",,,74.642,,
"USA","United States","NOX","Nitrogen Oxides","TOT_CAP","Total emissions per capita","2003","2003","KG_HAB","Kilograms per capita","0","Units",,,69.934,,
"USA","United States","NOX","Nitrogen Oxides","TOT_CAP","Total emissions per capita","2004","2004","KG_HAB","Kilograms per capita","0","Units",,,65.251,,
"USA","United States","NOX","Nitrogen Oxides","TOT_CAP","Total emissions per capita","2005","2005","KG_HAB","Kilograms per capita","0","Units",,,61.73,,
"USA","United States","NOX","Nitrogen Oxides","TOT_CAP","Total emissions per capita","2006","2006","KG_HAB","Kilograms per capita","0","Units",,,57.742,,
"USA","United States","NOX","Nitrogen Oxides","TOT_CAP","Total emissions per capita","2007","2007","KG_HAB","Kilograms per capita","0","Units",,,53.823,,
"USA","United States","NOX","Nitrogen Oxides","TOT_CAP","Total emissions per capita","2008","2008","KG_HAB","Kilograms per capita","0","Units",,,49.796,,
"USA","United States","NOX","Nitrogen Oxides","TOT_CAP","Total emissions per capita","2009","2009","KG_HAB","Kilograms per capita","0","Units",,,46.02,,
"USA","United States","NOX","Nitrogen Oxides","TOT_CAP","Total emissions per capita","2010","2010","KG_HAB","Kilograms per capita","0","Units",,,42.946,,
"USA","United States","NOX","Nitrogen Oxides","TOT_CAP","Total emissions per capita","2011","2011","KG_HAB","Kilograms per capita","0","Units",,,41.408,,
"USA","United States","NOX","Nitrogen Oxides","TOT_CAP","Total emissions per capita","2012","2012","KG_HAB","Kilograms per capita","0","Units",,,39.27,,
"USA","United States","NOX","Nitrogen Oxides","TOT_CAP","Total emissions per capita","2013","2013","KG_HAB","Kilograms per capita","0","Units",,,37.173,,
"USA","United States","NOX","Nitrogen Oxides","TOT_CAP","Total emissions per capita","2014","2014","KG_HAB","Kilograms per capita","0","Units",,,35.274,,
"USA","United States","NOX","Nitrogen Oxides","TOT_CAP","Total emissions per capita","2015","2015","KG_HAB","Kilograms per capita","0","Units",,,32.944,,
"USA","United States","NOX","Nitrogen Oxides","TOT_CAP","Total emissions per capita","2016","2016","KG_HAB","Kilograms per capita","0","Units",,,31.231,,
"USA","United States","NOX","Nitrogen Oxides","TOT_CAP","Total emissions per capita","2017","2017","KG_HAB","Kilograms per capita","0","Units",,,29.556,,
